page,cl100k_len
乾隆帝,10310
仲家_(东汉),904
侯景,4025
元仁宗,8470
元宁宗,2030
元宝炬,2415
元廓,789
元惠宗,12385
元愉,3017
元成宗,5945
元文宗,4894
元明宗,3036
元晔,1145
元朗_(安定王),575
元武宗,6771
元氏_(魏孝明帝女),4076
元法僧,1284
元泰定帝,7967
元英宗,6245
元釗,756
元钦,584
元颢,835
光熹,324
光绪帝,10301
公孙述,799
冉闵,3378
冯弘,1336
刘劭_(刘宋),7393
刘子业,5251
刘守光,1931
刘弘,912
刘懿,671
刘旻,1373
刘曜,9646
刘渊,5469
刘盆子,2306
刘粲,2618
刘继元,900
刘继恩,617
刘聪_(汉赵),7650
刘豫,1176
刘贺,2353
刘鋹,1970
前蜀后主,1141
前蜀高祖,2293
劉和_(漢趙),1053
劉子勛,1600
劉承祐,1326
劉昱,4165
劉晟_(南漢),1369
劉玢,825
劉辯,8602
北汉睿宗,616
南汉高祖,3586
史思明,2602
史朝义,747
司马伦,3730
后汉高祖,1896
后蜀后主,2427
后金太祖,35796
吕光,4038
吕纂,3683
吕绍,1441
吕隆,1309
吳周太祖,9185
吴世璠,761
周世宗,3338
周厉王,987
周宣帝,1634
周宣王,8609
周平王,1075
周恭帝,888
周敬王,593
周明帝,870
周显王,369
周武帝,10600
周穆王,1144
周襄王,1562
周赧王,1155
周静帝,723
唐中宗,6034
唐代宗,3452
唐僖宗,2091
唐哀帝,1485
唐太宗,38790
唐宣宗,3819
唐宪宗,4712
唐庄宗,6419
唐德宗,3086
唐懿宗,2247
唐敬宗,898
唐文宗,2373
唐明宗,4172
唐昭宗,6069
唐末帝,1962
唐武宗,4584
唐殇帝,1081
唐玄宗,19645
唐睿宗,4198
唐穆宗,1903
唐肃宗,4568
唐閔帝,1213
唐顺宗,3747
唐高宗,4599
唐高祖,7915
嘉庆帝,8218
嘉慶帝,8218
嘉靖帝,10877
天皇_(朱泚),224
姚兴,10125
姚泓,701
姚苌,6836
孙亮,2733
孙休,2177
孙权,48190
孙皓,12194
孟知祥,1727
孺子婴,827
宇文化及,9739
安庆绪,1378
安禄山,3562
宋仁宗,10343
宋光宗,3391
宋哲宗,3563
宋太宗,6515
宋太祖,18640
宋孝宗,3614
宋孝武帝,6851
宋寧宗,5236
宋少帝,2380
宋度宗,2953
宋徽宗,12120
宋恭帝,3555
宋文帝,11138
宋明帝,7270
宋武帝,19374
宋理宗,6328
宋真宗,6118
宋神宗,6398
宋端宗,2923
宋英宗,3339
宋钦宗,4086
宋顺帝,1463
宋高宗,12740
完顏承麟,1345
完颜亮,7290
完颜永济,2485
宣武靈皇后,1926
康熙帝,15662
建文帝,6866
弘光帝,7132
张献忠,7958
张邦昌,1888
徐寿辉,1347
忽必烈,22799
慕容云,822
慕容儁,5978
慕容冲,916
慕容垂,10984
慕容宝,6488
慕容德,1900
慕容忠,360
慕容暐,4674
慕容永,728
慕容熙,1507
慕容瑤,202
慕容皝,6055
慕容盛,1886
慕容超,2142
拓跋余,1434
明世宗,10877
明仁宗,3732
明光宗,6368
明升,813
明孝宗,11854
明宣宗,6369
明宪宗,13043
明思宗,20164
明成祖,38711
明武宗,9768
明熹宗,15620
明玉珍,860
明神宗,23291
明穆宗,4401
明英宗,9602
昭寧,309
晋世祖,11374
晋元帝,7052
晋哀帝,754
晋孝武帝,2615
晋安帝,2058
晋废帝,765
晋康帝,361
晋怀帝,2138
晋恭帝,3343
晋惠帝,4199
晋愍帝,5209
晋成帝,2254
晋明帝,4072
晋穆帝,984
晋简文帝,4684
景泰帝,3438
曹丕,19617
曹奂,1264
曹芳,2641
曹髦,1960
朱元璋,33854
朱友珪,3262
朱泚,1321
朱温,3281
李乾順,876
李仁孝,888
李势,3068
李寿,3576
李希烈,1619
李昪,4491
李期,1780
李煜,7089
李班_(成汉),1732
李璟,1651
李自成,12398
李雄_(十六國),6441
李𥙿,1777
杨浩,1513
桓玄,13290
梁元帝,3913
梁宣帝,1735
梁敬帝,710
梁明帝,1375
梁末帝,2135
梁武帝,8984
梁简文帝,3581
楊侑,809
楊溥_(十國),1595
武丁,2186
武乙,1261
武則天,16465
永历帝,3606
汉世宗,20827
汉元帝,2732
汉光武帝,12056
汉冲帝,717
汉和帝,5439
汉哀帝,2377
汉太宗,23250
汉太祖,31164
汉安帝,1368
汉宣帝,15885
汉平帝,1011
汉惠帝,19745
汉成帝,2834
汉明帝,5841
汉昭帝,4177
汉景帝,6532
汉更始帝,2886
汉桓帝,1572
汉灵帝,10007
汉烈祖,40100
汉章帝,6531
汉质帝,804
汉赵,5528
汉顺帝,1907
泰昌,1604
清世宗,12304
清世祖,13014
清太宗,5625
清文宗,7474
清穆宗,5329
溥儀,9417
漢懷帝,7365
漢武帝,20827
漢殤帝,634
漢獻帝,5344
爾朱榮,3977
王世充,3124
王延政,2030
王延羲,1086
王延钧,3161
王继鹏,1237
王莽,6349
皇泰主,5755
石世,1237
石勒,17365
石弘,1104
石敬瑭,5653
石祗,1419
石虎,8375
石遵,1823
石重贵,2314
石鉴,1976
秦二世,3182
秦始皇,59892
秦宗权,1449
秦昭襄王,7680
紹武帝,2199
纣王,7236
耶律朮烈,323
耶律淳,843
耶律雅里,241
苻丕,4537
苻健,4002
苻坚,20203
苻崇,323
苻生,5175
苻登,3526
萧宝卷,1830
萧庄,594
萧昭业,1862
萧昭文,1236
萧栋,941
萧正德,936
萧渊明,2374
萧琮,754
萧纪,2627
萧道成,12086
董昌,988
袁术,10553
西汉前少帝,1272
西漢,28879
赫连勃勃,6033
赫连定,2745
赫连昌,693
赵旉,814
赵昺,2380
趙佗,3256
辽世宗,2220
辽兴宗,1925
辽天祚帝,2698
辽太祖,3149
辽景宗,1153
辽穆宗,1101
道光帝,9411
遼太宗,2762
遼聖宗,2797
遼道宗,1981
郭威,3620
金世宗,3176
金哀宗,1963
金太宗,2694
金太祖,3109
金宣宗,1552
金熙宗,4999
金章宗,2372
阿速吉八,1680
陈伯宗,1322
陈友谅,6248
陈后主,4893
陈宣帝,2993
陈文帝,3210
陈武帝,3571
陈理_(元末),329
隆武帝,4256
隋明帝,12277
隋高祖,10794
韩林儿,947
馮跋,1691
高延宗,1527
高恆,525
高殷,900
高湝,1199
高绍义,615
魏太武帝,5788
魏孝庄帝,2046
魏孝文帝,3655
魏孝明帝,1305
魏孝武帝,1426
魏孝静帝,2394
魏宣武帝,1546
魏文成帝,2809
魏明元帝,1247
魏明帝,6865
魏献文帝,1525
魏节闵帝,2548
魏道武帝,9782
齐后主,1395
齐和帝,1145
齐孝昭帝,2104
齐文宣帝,5720
齐明帝,2021
齐武帝,2848
齐武成帝,2831
