text,href
清圣祖,/wiki/%E5%BA%B7%E7%86%99%E5%B8%9D
清高宗,/wiki/%E4%B9%BE%E9%9A%86%E5%B8%9D
夏仁宗,/wiki/%E6%9D%8E%E4%BB%81%E5%AD%9D
汉世宗,/wiki/%E6%B1%89%E4%B8%96%E5%AE%97
汉武帝,/wiki/%E6%BC%A2%E6%AD%A6%E5%B8%9D
夏崇宗,/wiki/%E6%9D%8E%E4%B9%BE%E9%A0%86
辽圣宗,/wiki/%E9%81%BC%E8%81%96%E5%AE%97
明神宗,/wiki/%E6%98%8E%E7%A5%9E%E5%AE%97
梁高祖,/wiki/%E6%A2%81%E6%AD%A6%E5%B8%9D
辽道宗,/wiki/%E9%81%BC%E9%81%93%E5%AE%97
明世宗,/wiki/%E6%98%8E%E4%B8%96%E5%AE%97
嘉靖帝,/wiki/%E5%98%89%E9%9D%96%E5%B8%9D
唐玄宗,/wiki/%E5%94%90%E7%8E%84%E5%AE%97
宋仁宗,/wiki/%E5%AE%8B%E4%BB%81%E5%AE%97
汉怀帝,/wiki/%E6%BC%A2%E6%87%B7%E5%B8%9D
宋理宗,/wiki/%E5%AE%8B%E7%90%86%E5%AE%97
元惠宗,/wiki/%E5%85%83%E6%83%A0%E5%AE%97
宋高宗,/wiki/%E5%AE%8B%E9%AB%98%E5%AE%97
唐高宗,/wiki/%E5%94%90%E9%AB%98%E5%AE%97
元世祖,/wiki/%E5%BF%BD%E5%BF%85%E7%83%88
清德宗,/wiki/%E5%85%89%E7%BB%AA%E5%B8%9D
汉光武帝,/wiki/%E6%B1%89%E5%85%89%E6%AD%A6%E5%B8%9D
汉献帝,/wiki/%E6%BC%A2%E7%8D%BB%E5%B8%9D
后蜀后主,/wiki/%E5%90%8E%E8%9C%80%E5%90%8E%E4%B8%BB
宋宁宗,/wiki/%E5%AE%8B%E5%AF%A7%E5%AE%97
明太祖,/wiki/%E6%9C%B1%E5%85%83%E7%92%8B
清宣宗,/wiki/%E9%81%93%E5%85%89%E5%B8%9D
北魏太武帝,/wiki/%E9%AD%8F%E5%A4%AA%E6%AD%A6%E5%B8%9D
宋太祖,/wiki/%E5%AE%8B%E6%96%87%E5%B8%9D
成太宗,/wiki/%E6%9D%8E%E9%9B%84_(%E5%8D%81%E5%85%AD%E5%9C%8B)
前秦世祖,/wiki/%E8%8B%BB%E5%9D%9A
北魏孝文帝,/wiki/%E9%AD%8F%E5%AD%9D%E6%96%87%E5%B8%9D
金世宗,/wiki/%E9%87%91%E4%B8%96%E5%AE%97
宋孝宗,/wiki/%E5%AE%8B%E5%AD%9D%E5%AE%97
汉成帝,/wiki/%E6%B1%89%E6%88%90%E5%B8%9D
唐德宗,/wiki/%E5%94%90%E5%BE%B7%E5%AE%97
宋徽宗,/wiki/%E5%AE%8B%E5%BE%BD%E5%AE%97
汉宣帝,/wiki/%E6%B1%89%E5%AE%A3%E5%B8%9D
晋世祖,/wiki/%E6%99%8B%E4%B8%96%E7%A5%96
宋真宗,/wiki/%E5%AE%8B%E7%9C%9F%E5%AE%97
南汉高祖,/wiki/%E5%8D%97%E6%B1%89%E9%AB%98%E7%A5%96
清仁宗,/wiki/%E5%98%89%E6%85%B6%E5%B8%9D
晋孝武帝,/wiki/%E6%99%8B%E5%AD%9D%E6%AD%A6%E5%B8%9D
隋高祖,/wiki/%E9%9A%8B%E9%AB%98%E7%A5%96
辽兴宗,/wiki/%E8%BE%BD%E5%85%B4%E5%AE%97
辽天祚帝,/wiki/%E8%BE%BD%E5%A4%A9%E7%A5%9A%E5%B8%9D
北魏道武帝,/wiki/%E9%AD%8F%E9%81%93%E6%AD%A6%E5%B8%9D
明宪宗,/wiki/%E6%98%8E%E5%AE%AA%E5%AE%97
孙权,/wiki/%E5%AD%99%E6%9D%83
唐太宗,/wiki/%E5%94%90%E5%A4%AA%E5%AE%97
汉太宗,/wiki/%E6%B1%89%E5%A4%AA%E5%AE%97
梁明帝,/wiki/%E6%A2%81%E6%98%8E%E5%B8%9D
后秦高祖,/wiki/%E5%A7%9A%E5%85%B4
